Name,Grape,Score,Price,Normalized_Score
"Real Companhia Velha Royal Oporto Vintage Port, Portugal",Port Blend Red,88,591,7.6
"Rozes Porto Vintage Port, Portugal",Port Blend Red,90,184,8.0
"Adega de Moncao 'Muralhas de Moncao', Vinho Verde, Portugal",Albarino (Alvarinho),86,30,7.2
"Ramos Pinto Duas Quintas, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,88,55,7.6
"Taylor Fladgate 20 Year Old Tawny Port, Portugal",Port Blend Red,91,189,8.2
"P+S Prats & Symington Post Scriptum de Chryseia, Douro, Portugal",Portuguese Red Blend,89,80,7.8
"Herdade do Esporao Private Selection, Alentejo, Portugal",Alicante Bouschet - Aragonez,91,184,8.2
"W & J Graham's 20 Year Old Tawny Port, Portugal",Port Blend Red,91,194,8.2
"Cockburn's Special Reserve Port, Portugal",Port Blend Red,87,65,7.4
"Quinta do Vale D. Dona Maria CV Curriculum Vitae, Douro, Portugal",Portuguese Red Blend,92,308,8.4
"Quinta do Vallado Tinto, Douro, Portugal",Portuguese Red Blend,88,60,7.6
"Casa Ferreirinha Vinha Grande Tinto, Douro, Portugal",Portuguese Red Blend,88,55,7.6
"Croft Quinta da Roeda Vintage Port, Portugal",Port Blend Red,91,179,8.2
"Sandeman 40 Years Old Tawny Porto, Portugal",Port Blend Red,91,572,8.2
"Quinta do Vale Meao 'Meandro' Tinto, Douro, Portugal",Portuguese Red Blend,89,80,7.8
"Bacalhoa - Caves Alianca 'Quinta da Bacalhoa' Cabernet Sauvignon, Vinho Regional Setubal Peninsula, Portugal",Cabernet Sauvignon,90,84,8.0
"Parras 'Montaria' Tinto, Vinho Regional Alentejano, Portugal",Alicante Bouschet - Aragonez - Trincadeira,86,30,7.2
"Niepoort Batuta Tinto, Douro, Portugal",Portuguese Red Blend,92,253,8.4
"Casa Ferreirinha Planalto Reserva, Douro, Portugal",Portuguese White Blend,87,35,7.4
"Taylor Fladgate 40 year old Tawny Port, Portugal",Port Blend Red,92,741,8.4
"Niepoort Late Bottled Vintage Port, Portugal",Port Blend Red,90,84,8.0
"Taylor Fladgate 325th Anniversary Tawny Port, Portugal",Port Blend Red,90,149,8.0
"Quinta do Crasto Superior, Douro, Portugal",Portuguese Red Blend,90,75,8.0
"W & J Graham's 40 Year Old Tawny Port, Portugal",Port Blend Red,91,572,8.2
"Wiese & Krohn Vintage Port, Portugal",Port Blend Red,89,750,7.8
"Jose Maria da Fonseca Lancers Rose, Portugal",Portuguese Red Blend,85,25,7.0
"Fonseca Late Bottled Vintage Port, Portugal",Port Blend Red,90,84,8.0
"Casa Ferreirinha Esteva Tinto, Douro, Portugal",Portuguese Red Blend,87,35,7.4
"Quinta do Infantado Vintage Port, Portugal",Port Blend Red,89,253,7.8
"Lobo e Falcao Tinto, Vinho Regional Tejo, Portugal",Portuguese Red Blend,87,45,7.4
"Niepoort Redoma Tinto, Douro, Portugal",Portuguese Red Blend,91,129,8.2
"Quinta do Noval Tinto, Douro, Portugal",Portuguese Red Blend,91,204,8.2
"Gazela Branco, Vinho Verde, Portugal",Loureiro,85,25,7.0
"Porto Cruz Vintage Port, Portugal",Port Blend Red,88,134,7.6
"Alves de Sousa 'Abandonado' Tinto, Douro, Portugal",Portuguese Red Blend,91,348,8.2
"Sandeman Vau Vintage Porto, Portugal",Port Blend Red,89,169,7.8
"Taylor Fladgate Scion Vintage Port, Portugal",Port Blend Red,90,11834,8.0
"Quinta do Noval Unfiltered Late Bottled Vintage Port, Portugal",Port Blend Red,90,89,8.0
"Ferreira Late Bottled Vintage Port, Portugal",Port Blend Red,90,80,8.0
"Niepoort Charme Tinto, Douro, Portugal",Portuguese Red Blend,92,258,8.4
"Casa Santos Lima 'Stones & Bones', Vinho Regional Lisboa, Portugal",Portuguese Red Blend,88,45,7.6
"Casa Santos Lima 'Lab' Tinto, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,86,30,7.2
"Casal Garcia Rose, Vinho Verde, Portugal",Rare Rose Blend,85,30,7.0
"Taylor Fladgate 10 Year Old Tawny Port, Portugal",Port Blend Red,89,109,7.8
"Silk & Spice Red Blend, Portugal",Portuguese Red Blend,88,45,7.6
"Silk & Spice Red Blend, Portugal",Portuguese Red Blend,88,45,7.6
"Quinta do Vallado Touriga Nacional, Douro, Portugal",Touriga Nacional,91,134,8.2
"W & J Graham's 30 Year Old Tawny Port, Portugal",Port Blend Red,91,373,8.2
"Herdade do Esporao 'Esporao' Reserva Branco, Alentejo, Portugal",Rare White Blend,89,55,7.8
"Ferreira Tawny Port, Portugal",Port Blend Red,87,50,7.4
"Quinta de la Rosa Vintage Port, Portugal",Port Blend Red,91,239,8.2
"W & J Graham's 'Ne Oublie' Port, Portugal",Port Blend Red,90,24567,8.0
"Cossart Gordon Bual Vintage, Madeira, Portugal",Bual,89,949,7.8
"Kopke 10 Year Old Tawny Port, Portugal",Port Blend Red,89,104,7.8
"Jose Maria da Fonseca Periquita Original, Vinho Regional Peninsula de Setubal, Portugal",Portuguese Red Blend,86,35,7.2
"Sagres Beer, Portugal",Beer,87,20,7.4
"Caves Messias Vintage Port, Portugal",Port Blend Red,89,388,7.8
"Symington Altano, Douro, Portugal",Portuguese Red Blend,87,35,7.4
"Sandeman Ruby Port, Portugal",Port Blend Red,86,55,7.2
"Ferreira Quinta do Porto 10 Year Old Tawny Port, Portugal",Port Blend Red,89,99,7.8
"Quinta do Crasto Vinha da Ponte, Douro, Portugal",Portuguese Red Blend,92,646,8.4
"W & J Graham's Six Grapes Reserve Port, Portugal",Port Blend Red,89,80,7.8
"Niepoort Bioma Vinha Velha Vintage Port, Portugal",Port Blend Red,93,313,8.6
"Porto Cruz Tawny Port, Portugal",Port Blend Red,88,50,7.6
