Name,Grape,Score,Price,Normalized_Score
"Mapreco Rose, Vinho Verde, Portugal",Tinta Roriz (Aragonez) - Touriga,87,35,7.4
"Real Companhia Velha Porca de Murca Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,88,50,7.6
"Quinta das Arcas Arca Nova, Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,86,35,7.2
"Blandy's Colheita - Harvest Malmsey, Madeira, Portugal",Malvasia,88,258,7.6
"Vinhos Borges Meia Encosta, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,84,20,6.8
"Sogrape Vinhos Quinta de Azevedo, Vinho Verde, Portugal",Arinto (Pederna) - Loureiro,86,40,7.2
"Herdade dos Grous Reserva Tinto, Alentejo, Portugal",Portuguese Red Blend,91,139,8.2
"Quinta de Lemos Dona Santana, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,89,75,7.8
"Quinta do Gradil Mula Velha Premium, Vinho Regional de Lisboa, Portugal",Rare Red Blend,87,25,7.4
"Quinta do Vale D. Dona Maria 'Rufo', Douro, Portugal",Portuguese Red Blend,88,45,7.6
"Locations Wine P Red, Portugal",Portuguese Red Blend,88,65,7.6
"Quinta de Ventozelo Vintage Port, Portugal",Port Blend Red,87,199,7.4
"Niepoort Projectos Bucaco Tinto Vinho de Mesa, Portugal",Portuguese Red Blend,91,224,8.2
"Smith Woodhouse Late Bottled Vintage Port, Portugal",Port Blend Red,89,119,7.8
"Quinta do Noval 10 Year Old Tawny Port, Portugal",Port Blend Red,89,114,7.8
"Feuerheerd's Vintage Port, Portugal",Port Blend Red,89,388,7.8
"Adega de Favaios Moscatel do Douro, Portugal",Muscat,87,65,7.4
"Quinta Seara d'Ordens Porto Vintage Port, Portugal",Port Blend Red,89,144,7.8
"Herdade da Malhadinha Nova 'Malhadinha' Tinto, Alentejo, Portugal",Portuguese Red Blend,91,154,8.2
"Fonseca 20 Year Old Tawny Port, Portugal",Port Blend Red,91,194,8.2
"Andresen Vintage Port, Portugal",Port Blend Red,89,308,7.8
"Vila Regia Tinto, Douro, Portugal",Portuguese Red Blend,86,40,7.2
"Herdade do Rocim Marianna, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,88,45,7.6
"Casa Santos Lima Al-Ria, Vinho Regional Algarve, Portugal",Syrah - Touriga,87,35,7.4
"Quinta Do Estanho Vintage Port, Portugal",Port Blend Red,87,214,7.4
"Herdade do Rocim Olho de Mocho Reserva, Vinho Regional Alentejano, Portugal",Syrah - Touriga,89,60,7.8
"Quinta do Poeira 'Po de Poeira' Tinto, Douro, Portugal",Portuguese Red Blend,89,75,7.8
"Niepoort Docil Loureiro, Vinho Verde, Portugal",Loureiro,88,50,7.6
"Dow's Fine Tawny Port, Portugal",Port Blend Red,86,50,7.2
"Dow's Fine Tawny Port, Portugal",Port Blend Red,86,50,7.2
"Kopke Late Bottled Vintage Port, Portugal",Port Blend Red,89,80,7.8
"Quinta do Vallado Adelaide, Douro, Portugal",Portuguese Red Blend,91,323,8.2
"Taylor Fladgate Chip Dry White Port, Portugal",Port Blend White,87,65,7.4
"Niepoort Lagar de Baixo Baga, Bairrada, Portugal",Baga,89,70,7.8
"Quinta de Chocapalha Tinto, Estremadura, Portugal",Tinta Roriz (Aragonez) - Touriga,90,45,8.0
"Real Companhia Velha Royal Oporto 20 Year Old Tawny Port, Portugal",Port Blend Red,89,184,7.8
"Monte da Ravasqueira Reserva Tinto, Vinho Regional Alentejano, Portugal",Syrah - Touriga,90,55,8.0
"Jose Maria da Fonseca Domini, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,89,50,7.8
"Vinhos Borges Quinta da Soalheira, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,25,7.4
"Rapariga da Quinta Tinto Reserva, Alentejo, Portugal",Alicante Bouschet,91,94,8.2
"Cartuxa Scala Coeli Tinto, Alentejo, Portugal",Rare Red Blend,89,273,7.8
"Quinta do Vale D. Dona Maria 'Vinha do Rio', Douro, Portugal",Portuguese Red Blend,92,462,8.4
"Casa Santos Lima 'Valcatrina', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,87,40,7.4
"Cadao Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,88,25,7.6
"Quinta do Vale Meao Vintage Port, Portugal",Port Blend Red,92,338,8.4
"Dow's Crusted Port, Portugal",Port Blend Red,88,114,7.6
"Osborne Late Bottled Vintage Port, Portugal",Port Blend Red,88,75,7.6
"Casa Santos Lima Quinta de Bons Ventos, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,86,30,7.2
"Churchill's Estates Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,89,60,7.8
"Alvaro Castro Tinto, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,89,50,7.8
"Niepoort Twisted, Douro, Portugal",Tinta Roriz - Tinto Cao - Touriga,88,60,7.6
"Vadio Tinto, Bairrada, Portugal",Baga,89,55,7.8
"Casa Ermelinda Freitas Dona Ermelinda Tinto, Palmela, Portugal",Portuguese Red Blend,87,25,7.4
"Bacalhoa - Caves Alianca Quinta do Carmo Reserva Tinto, Alentejo, Portugal",Cabernet - Grenache - Syrah,89,144,7.8
"Bacalhoa - Caves Alianca Casal Mendes Rose, Portugal",Baga,86,25,7.2
"Joao Portugal Ramos Smart Dog Syrah, Alentejo, Portugal",Syrah,87,35,7.4
"Dow's Vale do Bomfim, Douro, Portugal",Portuguese Red Blend,88,40,7.6
"Barros 10 Year Old Tawny Port, Portugal",Port Blend Red,88,89,7.6
"Martinez Quinta da Eira Velha, Single Quinta Vintage Port, Portugal",Port Blend Red,90,229,8.0
"Quinta Nova de Nossa Senhora do Carmo Reserva Tinto, Douro, Portugal",Portuguese Red Blend,89,99,7.8
"Carmim 'Terras d'el Rei', Vinho Regional Alentejano, Portugal",Portuguese Red Blend,84,20,6.8
"Quinta de Foz de Arouce, Vinho Regional Beiras, Portugal",Portuguese Red Blend,90,65,8.0
"W & J Graham's Crusted Port, Portugal",Port Blend Red,90,89,8.0
"Warre's Otima 20 Years Old Tawny Port, Portugal",Port Blend Red,90,214,8.0
"Dow's 30 Year Old Tawny Port, Portugal",Port Blend Red,89,378,7.8
"Offley Ruby Port, Portugal",Port Blend Red,87,55,7.4
"Quinta Nova de Nossa Senhora do Carmo Vintage Port, Portugal",Port Blend Red,90,219,8.0
"Quinta do Crasto Flor de Crasto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,40,7.4
"Quinta do Crasto Flor de Crasto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,87,40,7.4
"Pera-Grave Reserva Tinto, Vinho Regional Alentejano, Portugal",Rare Red Blend,88,94,7.6
"Ramos Pinto Quinta da Ervamoira 10 Year Old Tawny Port, Portugal",Port Blend Red,89,139,7.8
"Niepoort Rotulo Tinto, Dao, Portugal",Portuguese Red Blend,89,45,7.8
"Octave, Vinho Verde, Portugal",Albarino (Alvarinho),88,30,7.6
"Quinta de Soalheiro 'Allo' Alvarinho - Loureiro, Vinho Verde, Portugal",Portuguese White Blend,88,30,7.6
"DFJ Vinhos Grand'Arte Alicante Bouschet, Vinho Regional Lisboa, Portugal",Alicante Bouschet,89,35,7.8
"Aphros Loureiro, Vinho Verde, Portugal",Loureiro,89,60,7.8
"Calem Late Bottled Vintage Port, Portugal",Port Blend Red,88,75,7.6
"Burmester 20 Year Old Tawny Port, Portugal",Port Blend Red,90,204,8.0
"Dow's Fine Ruby Port, Portugal",Port Blend Red,87,55,7.4
"Falua 'Conde de Vimioso' Reserva, Vinho Regional Tejo, Portugal",Rare Red Blend,90,60,8.0
"Casa Santos Lima Portuga, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,87,30,7.4
"Quinta da Sequeira Tinto Grande Reserva, Douro, Portugal",Portuguese Red Blend,87,144,7.4
"Cockburn's Quinta Dos Canais Vintage Port, Portugal",Port Blend Red,90,194,8.0
"Herdade do Peso 'Trinca Bolotas', Alentejo, Portugal",Rare White Blend,90,89,8.0
"Alvaro Castro Quinta de Saes 'Estagio Prolongado' Tinto Reserva, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,90,75,8.0
"Andreza Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,89,40,7.8
"Real Companhia Velha Quinta das Carvalhas 'Carvalhas' Tinto, Douro, Portugal",Rare Red Blend,90,60,8.0
"Taylor Fladgate Special Fine Ruby Port, Portugal",Port Blend Red,88,60,7.6
"Casa Santos Lima Quinta do Espirito Santo, Vinho Regional Estremadura, Portugal",Portuguese Red Blend,88,40,7.6
"Niepoort Poeirinho Baga, Bairrada, Portugal",Baga,90,119,8.0
"Burmester 10 Year Old Tawny Port, Portugal",Port Blend Red,89,109,7.8
"Symington Altano Reserva, Douro, Portugal",Touriga Franca - Touriga Nacional,89,60,7.8
"Ramos Pinto Lagrima White Porto, Portugal",Port Blend White,87,60,7.4
"Niepoort Poeirinho Baga, Bairrada, Portugal",Baga,90,119,8.0
"Herdade do Esporao Monte Velho Branco, Vinho Regional Alentejano, Portugal",Antao Vaz,86,30,7.2
"Quinta do Portal Late Bottled Vintage Port, Portugal",Port Blend Red,88,89,7.6
"Luis Pato Baga Vinho Espumante Rose Bruto, Beiras, Portugal",Baga,87,50,7.4
"Quinta dos Carvalhais Reserva, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,90,114,8.0
"DFJ Vinhos Paxis Vinho Regional Lisboa Tinto, Portugal",Portuguese Red Blend,87,35,7.4
"Jose Maria da Fonseca Domingos Soares Franco 'Coleccao Privada' Moscatel de Setubal Roxo, Portugal",Muscat,87,84,7.4
"W & J Graham's The Tawny Port, Portugal",Port Blend Red,89,75,7.8
"Caves Sao Joao 'Porta dos Cavaleiros' Tinto, Dao, Portugal",Portuguese Red Blend,86,70,7.2
"Anselmo Mendes Muros de Melgaco Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),90,70,8.0
"Quinta da Lixa 'Anjos de Portugal', Vinho Verde, Portugal",Albarino (Alvarinho),86,25,7.2
"Castello D'Alba Vinhas Velhas Grande Reserva, Douro, Portugal",Portuguese Red Blend,89,60,7.8
"Vallegre Vista Alegre Vintage Port, Portugal",Port Blend Red,90,149,8.0
"Tiago Cabaco Blog Tinto, Alentejo, Portugal",Portuguese Red Blend,91,114,8.2
"Ramos Pinto Duas Quintas Reserva Especial, Douro, Portugal",Portuguese Red Blend,88,258,7.6
"Anselmo Mendes 'Muros Antigos' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),89,55,7.8
"Cartuxa Evora Colheita Branco, Alentejo, Portugal",Portuguese White Blend,88,50,7.6
"Quinta de S. Francisco Tinto, Obidos, Portugal",Castelao - Touriga,87,35,7.4
"Herdade do Peso 'Trinca Bolotas', Alentejo, Portugal",Portuguese Red Blend,87,35,7.4
"Caves Vidigal Reserva, Vinho Regional Lisboa, Portugal",Tempranillo,86,30,7.2
"Wine & Soul Pintas Vintage Port, Portugal",Port Blend Red,91,249,8.2
"Quinta do Passadouro, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,89,104,7.8
"Pera-Grave Reserva Tinto, Vinho Regional Alentejano, Portugal",Rare Red Blend,88,94,7.6
"Ramos Pinto Quinta da Ervamoira 10 Year Old Tawny Port, Portugal",Port Blend Red,89,139,7.8
"Niepoort Rotulo Tinto, Dao, Portugal",Portuguese Red Blend,89,45,7.8
"Octave, Vinho Verde, Portugal",Albarino (Alvarinho),88,30,7.6
"Quinta de Soalheiro 'Allo' Alvarinho - Loureiro, Vinho Verde, Portugal",Portuguese White Blend,88,30,7.6
"DFJ Vinhos Grand'Arte Alicante Bouschet, Vinho Regional Lisboa, Portugal",Alicante Bouschet,89,35,7.8
"Aphros Loureiro, Vinho Verde, Portugal",Loureiro,89,60,7.8
"Calem Late Bottled Vintage Port, Portugal",Port Blend Red,88,75,7.6
"Burmester 20 Year Old Tawny Port, Portugal",Port Blend Red,90,204,8.0
"Dow's Fine Ruby Port, Portugal",Port Blend Red,87,55,7.4
"Falua 'Conde de Vimioso' Reserva, Vinho Regional Tejo, Portugal",Rare Red Blend,90,60,8.0
"Casa Santos Lima Portuga, Vinho Regional Lisboa, Portugal",Portuguese Red Blend,87,30,7.4
"Quinta da Sequeira Tinto Grande Reserva, Douro, Portugal",Portuguese Red Blend,87,144,7.4
"Cockburn's Quinta Dos Canais Vintage Port, Portugal",Port Blend Red,90,194,8.0
"Casa Santos Lima Quinta do Espirito Santo, Vinho Regional Estremadura, Portugal",Portuguese Red Blend,88,40,7.6
"Andreza Reserva Tinto, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,89,40,7.8
"Herdade do Esporao Private Selection Branco, Alentejo, Portugal",Rare White Blend,90,89,8.0
"Alvaro Castro Quinta de Saes 'Estagio Prolongado' Tinto Reserva, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,90,75,8.0
"Real Companhia Velha Quinta das Carvalhas 'Carvalhas' Tinto, Douro, Portugal",Rare Red Blend,90,60,8.0
"Taylor Fladgate Special Fine Ruby Port, Portugal",Port Blend Red,88,60,7.6
"Burmester 10 Year Old Tawny Port, Portugal",Port Blend Red,89,109,7.8
"Symington Altano Reserva, Douro, Portugal",Touriga Franca - Touriga Nacional,89,60,7.8
"Ramos Pinto Lagrima White Porto, Portugal",Port Blend White,87,60,7.4
"Niepoort Poeirinho Baga, Bairrada, Portugal",Baga,90,119,8.0
"Herdade do Esporao Monte Velho Branco, Vinho Regional Alentejano, Portugal",Antao Vaz,86,30,7.2
"Quinta do Portal Late Bottled Vintage Port, Portugal",Port Blend Red,88,89,7.6
"Luis Pato Baga Vinho Espumante Rose Bruto, Beiras, Portugal",Baga,87,50,7.4
"Quinta dos Carvalhais Reserva, Dao, Portugal",Tinta Roriz (Aragonez) - Touriga,90,114,8.0
"DFJ Vinhos Paxis Vinho Regional Lisboa Tinto, Portugal",Portuguese Red Blend,87,35,7.4
"Jose Maria da Fonseca Domingos Soares Franco 'Coleccao Privada' Moscatel de Setubal Roxo, Portugal",Muscat,87,84,7.4
"W & J Graham's The Tawny Port, Portugal",Port Blend Red,89,75,7.8
"Caves Sao Joao 'Porta dos Cavaleiros' Tinto, Dao, Portugal",Portuguese Red Blend,86,70,7.2
"Anselmo Mendes Muros de Melgaco Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),90,70,8.0
"Quinta da Lixa 'Anjos de Portugal', Vinho Verde, Portugal",Albarino (Alvarinho),86,25,7.2
"Castello D'Alba Vinhas Velhas Grande Reserva, Douro, Portugal",Portuguese Red Blend,89,60,7.8
"Vallegre Vista Alegre Vintage Port, Portugal",Port Blend Red,90,149,8.0
"Tiago Cabaco Blog Tinto, Alentejo, Portugal",Portuguese Red Blend,91,114,8.2
"Ramos Pinto Duas Quintas Reserva Especial, Douro, Portugal",Portuguese Red Blend,88,258,7.6
"Anselmo Mendes 'Muros Antigos' Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),89,55,7.8
"Cartuxa Evora Colheita Branco, Alentejo, Portugal",Portuguese White Blend,88,50,7.6
"Quinta de S. Francisco Tinto, Obidos, Portugal",Castelao - Touriga,87,35,7.4
"Herdade do Peso 'Trinca Bolotas', Alentejo, Portugal",Portuguese Red Blend,87,35,7.4
"Caves Vidigal Reserva, Vinho Regional Lisboa, Portugal",Tempranillo,86,30,7.2
