Name,Grape,Popularity,Score,AvgPrice,NormScore
"Cartuxa Evora Reserva Tinto, Alentejo, Portugal",Alicante Bouschet - Aragonez,"3,727",90,176,8
"Herdade do Esporao Monte Velho, Vinho Regional Alentejano, Portugal",Portuguese Red Blend,"3,737",86,35,7.2
"Quinta de Soalheiro Alvarinho, Vinho Verde, Portugal",Albarino (Alvarinho),"3,788",90,60,8
"Casa Ferreirinha 'Papa Figos' Tinto, Douro, Portugal",Tinta Barroca - Tinta Roriz - Touriga,"3,805",87,45,7.4
"Warre's Late Bottled Vintage Port, Portugal",Port Blend Red,"3,816",90,115,8
"Vicente Leite Faria Gloria Tinto Reserva, Douro, Portugal",Portuguese Red Blend,"3,852",89,55,7.8
"C. da Silva Dalva Vintage Port, Portugal",Port Blend Red,"3,901",90,201,8
"Herdade do Mouchao Tonel 3-4, Alentejo, Portugal",Alicante Bouschet,"3,954",92,633,8.4
"Quinta do Noval Late Bottled Vintage Port, Portugal",Port Blend Red,"4,012",89,95,7.8
"Sandeman Late Bottled Vintage Port, Portugal",Port Blend Red,"4,102",89,100,7.8
"Quarles Harris Vintage Port, Portugal",Port Blend Red,"4,145",89,316,7.8
"Real Companhia Velha Royal Porto Colheita Port, Portugal",Port Blend Red,"4,169",,422,-10
"Quinta do Noval Colheita Port, Portugal",Port Blend Red,"4,210",,437,-10
"Dao Sul Quinta de Cabriz 'Cabriz' Colheita Seleccionada Tinto, Dao, Portugal",Alfrocheiro Preto - Tinta Roriz - Touriga,"4,229",87,35,7.4
"Aveleda 'Quinta da Aveleda' Loureiro - Alvarinho, Vinho Verde, Portugal",Portuguese White Blend,"4,247",87,30,7.4
"Quinta do Vesuvio 'A Capela' Vintage Porto, Portugal",Port Blend Red,"4,331",93,678,8.6
"Quinta do Crasto Touriga Nacional, Douro, Portugal",Touriga Nacional,"4,343",91,231,8.2
"Ramos Pinto Duas Quintas Reserva, Douro, Portugal",Portuguese Red Blend,"4,421",90,131,8
"Real Companhia Velha Royal Oporto Vintage Port, Portugal",Port Blend Red,"4,458",88,633,7.6
"Rozes Porto Vintage Port, Portugal",Port Blend Red,"4,506",90,181,8
"Giesta Tinto, Dao, Portugal",Portuguese Red Blend,"4,592",,50,-10
"Adega de Moncao 'Muralhas de Moncao', Vinho Verde, Portugal",Albarino (Alvarinho),"4,660",86,30,7.2
"Ramos Pinto Duas Quintas, Douro, Portugal",Tinta Roriz (Aragonez) - Touriga,"4,674",88,55,7.6
"Barbeito Malvasia, Madeira, Portugal",Malvasia,"4,827",,"2,159",-10
"Taylor Fladgate 20 Year Old Tawny Port, Portugal",Port Blend Red,"4,856",91,191,8.2
"Quinta do Noval Silval Vintage Port, Portugal",Port Blend Red,"4,941",,196,-10
"Licor Beirao, Portugal",Liqueur - Herb - Spice,"4,978",,60,-10
"P+S Prats & Symington Post Scriptum de Chryseia, Douro, Portugal",Portuguese Red Blend,"5,061",89,80,7.8
"Niepoort Garrafeira Port, Portugal",Port Blend Red,"5,179",,"2,475",-10
"Herdade do Esporao Private Selection, Alentejo, Portugal",Alicante Bouschet - Aragonez,"5,239",91,186,8.2
"Martinez Vintage Port, Portugal",Port Blend Red,"5,265",,522,-10
"W & J Graham's 20 Year Old Tawny Port, Portugal",Port Blend Red,"5,265",91,201,8.2
"D'Oliveiras Sercial Vintage Madeira, Portugal",Sercial,"5,265",,"1,054",-10
"Cockburn's Special Reserve Port, Portugal",Port Blend Red,"5,305",87,65,7.4
"Quinta do Vale D. Dona Maria CV Curriculum Vitae, Douro, Portugal",Portuguese Red Blend,"5,368",92,311,8.4
"Sharish Blue Magic Gin, Portugal",Gin,"5,507",,206,-10
"Quinta do Vallado Tinto, Douro, Portugal",Portuguese Red Blend,"5,548",88,60,7.6
"Croft Quinta da Roeda Vintage Port, Portugal",Port Blend Red,"5,589",91,181,8.2
"Casa Ferreirinha Vinha Grande Tinto, Douro, Portugal",Portuguese Red Blend,"5,589",88,55,7.6
"Sandeman 40 Years Old Tawny Porto, Portugal",Port Blend Red,"5,631",91,577,8.2
"Quinta do Vale Meao 'Meandro' Tinto, Douro, Portugal",Portuguese Red Blend,"5,664",89,80,7.8
"Bacalhoa - Caves Alianca 'Quinta da Bacalhoa' Cabernet Sauvignon, Vinho Regional Setubal Peninsula, Portugal",Cabernet Sauvignon,"5,726",90,85,8
"Parras 'Montaria' Tinto, Vinho Regional Alentejano, Portugal",Alicante Bouschet - Aragonez - Trincadeira,"5,807",86,30,7.2
"Niepoort Batuta Tinto, Douro, Portugal",Portuguese Red Blend,"5,829",92,256,8.4
"Casa Ferreirinha Planalto Reserva, Douro, Portugal",Portuguese White Blend,"5,957",87,40,7.4
"Taylor Fladgate 40 year old Tawny Port, Portugal",Port Blend Red,"5,957",92,758,8.4
"Niepoort Late Bottled Vintage Port, Portugal",Port Blend Red,"5,999",90,85,8
